id,answer,create_week,pct,Date,Series,Value,Candidate
87,Bennet,2019-05-13 00:00:00,0.3,2019-05-12 00:00:00,FBC,0.0,Bennet
88,Bennet,2019-05-13 00:00:00,0.3,2019-05-12 00:00:00,FOXNEWS,0.0066,Bennet
89,Bennet,2019-05-13 00:00:00,0.3,2019-05-12 00:00:00,MSNBC,0.0277,Bennet
90,Bennet,2019-05-20 00:00:00,0.6714285714285715,2019-05-19 00:00:00,BLOOMBERG,0.0388,Bennet
91,Bennet,2019-05-20 00:00:00,0.6714285714285715,2019-05-19 00:00:00,CNBC,0.0,Bennet
92,Bennet,2019-05-20 00:00:00,0.6714285714285715,2019-05-19 00:00:00,CNN,0.0,Bennet
93,Bennet,2019-05-20 00:00:00,0.6714285714285715,2019-05-19 00:00:00,CSPAN,0.0,Bennet
94,Bennet,2019-05-20 00:00:00,0.6714285714285715,2019-05-19 00:00:00,CSPAN2,0.0069,Bennet
95,Bennet,2019-05-20 00:00:00,0.6714285714285715,2019-05-19 00:00:00,CSPAN3,0.0,Bennet
96,Bennet,2019-05-20 00:00:00,0.6714285714285715,2019-05-19 00:00:00,FBC,0.0,Bennet
97,Bennet,2019-05-20 00:00:00,0.6714285714285715,2019-05-19 00:00:00,FOXNEWS,0.0,Bennet
98,Bennet,2019-05-20 00:00:00,0.6714285714285715,2019-05-19 00:00:00,MSNBC,0.0,Bennet
99,Bennet,2019-05-27 00:00:00,0.2857142857142857,2019-05-26 00:00:00,BLOOMBERG,0.0,Bennet
100,Bennet,2019-05-27 00:00:00,0.2857142857142857,2019-05-26 00:00:00,CNBC,0.0,Bennet
101,Bennet,2019-05-27 00:00:00,0.2857142857142857,2019-05-26 00:00:00,CNN,0.04,Bennet
102,Bennet,2019-05-27 00:00:00,0.2857142857142857,2019-05-26 00:00:00,CSPAN,0.0,Bennet
103,Bennet,2019-05-27 00:00:00,0.2857142857142857,2019-05-26 00:00:00,CSPAN2,0.0,Bennet
104,Bennet,2019-05-27 00:00:00,0.2857142857142857,2019-05-26 00:00:00,CSPAN3,0.0,Bennet
105,Bennet,2019-05-27 00:00:00,0.2857142857142857,2019-05-26 00:00:00,FBC,0.0,Bennet
106,Bennet,2019-05-27 00:00:00,0.2857142857142857,2019-05-26 00:00:00,FOXNEWS,0.0033,Bennet
107,Bennet,2019-05-27 00:00:00,0.2857142857142857,2019-05-26 00:00:00,MSNBC,0.0213,Bennet
108,Bennet,2019-06-03 00:00:00,0.6666666666666666,2019-06-02 00:00:00,BLOOMBERG,0.0,Bennet
109,Bennet,2019-06-03 00:00:00,0.6666666666666666,2019-06-02 00:00:00,CNBC,0.0,Bennet
110,Bennet,2019-06-03 00:00:00,0.6666666666666666,2019-06-02 00:00:00,CNN,0.0,Bennet
111,Bennet,2019-06-03 00:00:00,0.6666666666666666,2019-06-02 00:00:00,CSPAN,0.0059,Bennet
112,Bennet,2019-06-03 00:00:00,0.6666666666666666,2019-06-02 00:00:00,CSPAN2,0.0,Bennet
113,Bennet,2019-06-03 00:00:00,0.6666666666666666,2019-06-02 00:00:00,CSPAN3,0.0,Bennet
114,Bennet,2019-06-03 00:00:00,0.6666666666666666,2019-06-02 00:00:00,FBC,0.0,Bennet
115,Bennet,2019-06-03 00:00:00,0.6666666666666666,2019-06-02 00:00:00,FOXNEWS,0.01,Bennet
116,Bennet,2019-06-03 00:00:00,0.6666666666666666,2019-06-02 00:00:00,MSNBC,0.0519,Bennet
117,Bennet,2019-06-10 00:00:00,0.4,2019-06-09 00:00:00,BLOOMBERG,0.0,Bennet
118,Bennet,2019-06-10 00:00:00,0.4,2019-06-09 00:00:00,CNBC,0.0,Bennet
119,Bennet,2019-06-10 00:00:00,0.4,2019-06-09 00:00:00,CNN,0.0399,Bennet
120,Bennet,2019-06-10 00:00:00,0.4,2019-06-09 00:00:00,CSPAN,0.0029,Bennet
121,Bennet,2019-06-10 00:00:00,0.4,2019-06-09 00:00:00,CSPAN2,0.0,Bennet
122,Bennet,2019-06-10 00:00:00,0.4,2019-06-09 00:00:00,CSPAN3,0.0,Bennet
123,Bennet,2019-06-10 00:00:00,0.4,2019-06-09 00:00:00,FBC,0.0,Bennet
124,Bennet,2019-06-10 00:00:00,0.4,2019-06-09 00:00:00,FOXNEWS,0.0066,Bennet
125,Bennet,2019-06-10 00:00:00,0.4,2019-06-09 00:00:00,MSNBC,0.0517,Bennet
126,Bennet,2019-06-17 00:00:00,0.18916666666666668,2019-06-16 00:00:00,BLOOMBERG,0.0,Bennet
127,Bennet,2019-06-17 00:00:00,0.18916666666666668,2019-06-16 00:00:00,CNBC,0.0,Bennet
128,Bennet,2019-06-17 00:00:00,0.18916666666666668,2019-06-16 00:00:00,CNN,0.0093,Bennet
129,Bennet,2019-06-17 00:00:00,0.18916666666666668,2019-06-16 00:00:00,CSPAN,0.0115,Bennet
130,Bennet,2019-06-17 00:00:00,0.18916666666666668,2019-06-16 00:00:00,CSPAN2,0.0,Bennet
131,Bennet,2019-06-17 00:00:00,0.18916666666666668,2019-06-16 00:00:00,CSPAN3,0.0068,Bennet
132,Bennet,2019-06-17 00:00:00,0.18916666666666668,2019-06-16 00:00:00,FBC,0.0,Bennet
133,Bennet,2019-06-17 00:00:00,0.18916666666666668,2019-06-16 00:00:00,FOXNEWS,0.0,Bennet
134,Bennet,2019-06-17 00:00:00,0.18916666666666668,2019-06-16 00:00:00,MSNBC,0.0393,Bennet
135,Bennet,2019-06-24 00:00:00,0.3,2019-06-23 00:00:00,BLOOMBERG,0.0,Bennet
136,Bennet,2019-06-24 00:00:00,0.3,2019-06-23 00:00:00,CNBC,0.0,Bennet
137,Bennet,2019-06-24 00:00:00,0.3,2019-06-23 00:00:00,CNN,0.0215,Bennet
138,Bennet,2019-06-24 00:00:00,0.3,2019-06-23 00:00:00,CSPAN,0.0141,Bennet
139,Bennet,2019-06-24 00:00:00,0.3,2019-06-23 00:00:00,CSPAN2,0.0173,Bennet
140,Bennet,2019-06-24 00:00:00,0.3,2019-06-23 00:00:00,CSPAN3,0.0034,Bennet
141,Bennet,2019-06-24 00:00:00,0.3,2019-06-23 00:00:00,FBC,0.0087,Bennet
142,Bennet,2019-06-24 00:00:00,0.3,2019-06-23 00:00:00,FOXNEWS,0.0295,Bennet
143,Bennet,2019-06-24 00:00:00,0.3,2019-06-23 00:00:00,MSNBC,0.1914,Bennet
144,Bennet,2019-07-01 00:00:00,0.5942857142857143,2019-06-30 00:00:00,BLOOMBERG,0.0,Bennet
145,Bennet,2019-07-01 00:00:00,0.5942857142857143,2019-06-30 00:00:00,CNBC,0.0,Bennet
146,Bennet,2019-07-01 00:00:00,0.5942857142857143,2019-06-30 00:00:00,CNN,0.0192,Bennet
147,Bennet,2019-07-01 00:00:00,0.5942857142857143,2019-06-30 00:00:00,CSPAN,0.0,Bennet
148,Bennet,2019-07-01 00:00:00,0.5942857142857143,2019-06-30 00:00:00,CSPAN2,0.0,Bennet
149,Bennet,2019-07-01 00:00:00,0.5942857142857143,2019-06-30 00:00:00,CSPAN3,0.0,Bennet
150,Bennet,2019-07-01 00:00:00,0.5942857142857143,2019-06-30 00:00:00,FBC,0.0,Bennet
151,Bennet,2019-07-01 00:00:00,0.5942857142857143,2019-06-30 00:00:00,FOXNEWS,0.0033,Bennet
152,Bennet,2019-07-01 00:00:00,0.5942857142857143,2019-06-30 00:00:00,MSNBC,0.0694,Bennet
153,Bennet,2019-07-08 00:00:00,0.5052631578947369,2019-07-07 00:00:00,BLOOMBERG,0.0,Bennet
154,Bennet,2019-07-08 00:00:00,0.5052631578947369,2019-07-07 00:00:00,CNBC,0.0,Bennet
155,Bennet,2019-07-08 00:00:00,0.5052631578947369,2019-07-07 00:00:00,CNN,0.0,Bennet
156,Bennet,2019-07-08 00:00:00,0.5052631578947369,2019-07-07 00:00:00,CSPAN,0.0136,Bennet
157,Bennet,2019-07-08 00:00:00,0.5052631578947369,2019-07-07 00:00:00,CSPAN2,0.0175,Bennet
158,Bennet,2019-07-08 00:00:00,0.5052631578947369,2019-07-07 00:00:00,CSPAN3,0.0,Bennet
159,Bennet,2019-07-08 00:00:00,0.5052631578947369,2019-07-07 00:00:00,FBC,0.0,Bennet
160,Bennet,2019-07-08 00:00:00,0.5052631578947369,2019-07-07 00:00:00,FOXNEWS,0.0591,Bennet
161,Bennet,2019-07-08 00:00:00,0.5052631578947369,2019-07-07 00:00:00,MSNBC,0.0155,Bennet
162,Bennet,2019-07-15 00:00:00,0.35555555555555557,2019-07-14 00:00:00,BLOOMBERG,0.0,Bennet
163,Bennet,2019-07-15 00:00:00,0.35555555555555557,2019-07-14 00:00:00,CNBC,0.0,Bennet
164,Bennet,2019-07-15 00:00:00,0.35555555555555557,2019-07-14 00:00:00,CNN,0.0449,Bennet
165,Bennet,2019-07-15 00:00:00,0.35555555555555557,2019-07-14 00:00:00,CSPAN,0.0057,Bennet
166,Bennet,2019-07-15 00:00:00,0.35555555555555557,2019-07-14 00:00:00,CSPAN2,0.0,Bennet
167,Bennet,2019-07-15 00:00:00,0.35555555555555557,2019-07-14 00:00:00,CSPAN3,0.0,Bennet
168,Bennet,2019-07-15 00:00:00,0.35555555555555557,2019-07-14 00:00:00,FBC,0.0047,Bennet
169,Bennet,2019-07-15 00:00:00,0.35555555555555557,2019-07-14 00:00:00,FOXNEWS,0.0162,Bennet
170,Bennet,2019-07-15 00:00:00,0.35555555555555557,2019-07-14 00:00:00,MSNBC,0.0213,Bennet
171,Bennet,2019-07-22 00:00:00,0.8850000000000001,2019-07-21 00:00:00,BLOOMBERG,0.0,Bennet
172,Bennet,2019-07-22 00:00:00,0.8850000000000001,2019-07-21 00:00:00,CNBC,0.0,Bennet
173,Bennet,2019-07-22 00:00:00,0.8850000000000001,2019-07-21 00:00:00,CNN,0.0158,Bennet
174,Bennet,2019-07-22 00:00:00,0.8850000000000001,2019-07-21 00:00:00,CSPAN,0.0029,Bennet
175,Bennet,2019-07-22 00:00:00,0.8850000000000001,2019-07-21 00:00:00,CSPAN2,0.0157,Bennet
176,Bennet,2019-07-22 00:00:00,0.8850000000000001,2019-07-21 00:00:00,CSPAN3,0.0,Bennet
177,Bennet,2019-07-22 00:00:00,0.8850000000000001,2019-07-21 00:00:00,FBC,0.0,Bennet
178,Bennet,2019-07-22 00:00:00,0.8850000000000001,2019-07-21 00:00:00,FOXNEWS,0.0064,Bennet
179,Bennet,2019-07-22 00:00:00,0.8850000000000001,2019-07-21 00:00:00,MSNBC,0.003,Bennet
180,Bennet,2019-07-29 00:00:00,0.2,2019-07-28 00:00:00,BLOOMBERG,0.0096,Bennet
181,Bennet,2019-07-29 00:00:00,0.2,2019-07-28 00:00:00,CNBC,0.0074,Bennet
182,Bennet,2019-07-29 00:00:00,0.2,2019-07-28 00:00:00,CNN,0.1545,Bennet
183,Bennet,2019-07-29 00:00:00,0.2,2019-07-28 00:00:00,CSPAN,0.0165,Bennet
184,Bennet,2019-07-29 00:00:00,0.2,2019-07-28 00:00:00,CSPAN2,0.0,Bennet
185,Bennet,2019-07-29 00:00:00,0.2,2019-07-28 00:00:00,CSPAN3,0.0,Bennet
186,Bennet,2019-07-29 00:00:00,0.2,2019-07-28 00:00:00,FBC,0.0138,Bennet
187,Bennet,2019-07-29 00:00:00,0.2,2019-07-28 00:00:00,FOXNEWS,0.0453,Bennet
188,Bennet,2019-07-29 00:00:00,0.2,2019-07-28 00:00:00,MSNBC,0.1027,Bennet
189,Bennet,2019-08-05 00:00:00,0.5647058823529413,2019-08-04 00:00:00,BLOOMBERG,0.0,Bennet
190,Bennet,2019-08-05 00:00:00,0.5647058823529413,2019-08-04 00:00:00,CNBC,0.0,Bennet
191,Bennet,2019-08-05 00:00:00,0.5647058823529413,2019-08-04 00:00:00,CNN,0.0,Bennet
192,Bennet,2019-08-05 00:00:00,0.5647058823529413,2019-08-04 00:00:00,CSPAN,0.1001,Bennet
193,Bennet,2019-08-05 00:00:00,0.5647058823529413,2019-08-04 00:00:00,CSPAN2,0.0,Bennet
194,Bennet,2019-08-05 00:00:00,0.5647058823529413,2019-08-04 00:00:00,CSPAN3,0.0,Bennet
195,Bennet,2019-08-05 00:00:00,0.5647058823529413,2019-08-04 00:00:00,FBC,0.0,Bennet
196,Bennet,2019-08-05 00:00:00,0.5647058823529413,2019-08-04 00:00:00,FOXNEWS,0.0032,Bennet
197,Bennet,2019-08-05 00:00:00,0.5647058823529413,2019-08-04 00:00:00,MSNBC,0.0089,Bennet
198,Bennet,2019-08-12 00:00:00,0.48518518518518516,2019-08-11 00:00:00,BLOOMBERG,0.0,Bennet
199,Bennet,2019-08-12 00:00:00,0.48518518518518516,2019-08-11 00:00:00,CNBC,0.0,Bennet
200,Bennet,2019-08-12 00:00:00,0.48518518518518516,2019-08-11 00:00:00,CNN,0.0285,Bennet
201,Bennet,2019-08-12 00:00:00,0.48518518518518516,2019-08-11 00:00:00,CSPAN,0.4502,Bennet
202,Bennet,2019-08-12 00:00:00,0.48518518518518516,2019-08-11 00:00:00,CSPAN2,0.0,Bennet
203,Bennet,2019-08-12 00:00:00,0.48518518518518516,2019-08-11 00:00:00,CSPAN3,0.0,Bennet
204,Bennet,2019-08-12 00:00:00,0.48518518518518516,2019-08-11 00:00:00,FBC,0.0,Bennet
205,Bennet,2019-08-12 00:00:00,0.48518518518518516,2019-08-11 00:00:00,FOXNEWS,0.0164,Bennet
