"","candidate","series","month","year","coverage","polling_result"
"153","Trump","CSPAN3","5","2019",1.4312,45.0434782608696
"154","Sanders","CNN","7","2019",1.4455,47.6
"155","Trump","CSPAN3","6","2019",1.4563,41.1441176470588
"156","Trump","CNBC","3","2019",1.517,44.212
"157","Trump","CNBC","10","2019",1.5279,45.2092592592593
"158","Trump","CNBC","1","2019",1.5299,42.0464285714286
"159","Trump","CSPAN3","1","2019",1.6153,42.0464285714286
"160","Trump","CSPAN2","4","2019",1.6715,46.1714285714286
"161","Sanders","FOXNEWS","4","2019",1.6794,39.9
"162","Trump","CNBC","7","2019",1.6892,43.5933333333333
"163","Trump","CSPAN2","5","2019",1.7041,45.0434782608696
"164","Trump","CNBC","11","2019",1.7328,46.2411764705882
"165","Trump","CSPAN3","2","2019",1.7506,38.4590909090909
"166","Trump","CNBC","12","2018",1.8654,42.1307692307692
"167","Trump","CSPAN3","11","2019",1.8843,46.2411764705882
"168","Trump","CSPAN2","6","2019",1.9291,41.1441176470588
"169","Trump","CSPAN2","2","2019",1.964,38.4590909090909
"170","Trump","CSPAN3","12","2019",2.0256,43.993125
"171","Trump","CSPAN2","12","2019",2.0428,43.993125
"172","Trump","CNBC","9","2019",2.0778,43.9133333333333
"173","Trump","CNBC","2","2019",2.2078,38.4590909090909
"174","Trump","CSPAN2","12","2018",2.2334,42.1307692307692
"175","Trump","CNBC","11","2018",2.387,43
"176","Trump","CNBC","5","2019",2.4508,45.0434782608696
"177","Trump","CSPAN2","9","2019",2.4727,43.9133333333333
"178","Trump","CSPAN2","10","2019",2.5305,45.2092592592593
"179","Trump","CSPAN2","11","2019",2.5385,46.2411764705882
"180","Trump","CSPAN2","11","2018",2.6082,43
"181","Trump","CSPAN2","3","2019",2.8105,44.212
"182","Trump","BLOOMBERG","4","2019",2.8419,46.1714285714286
"183","Trump","BLOOMBERG","3","2019",2.8584,44.212
"184","Trump","CNBC","8","2019",2.9519,43.4827586206897
"185","Trump","CSPAN2","7","2019",3.0236,43.5933333333333
"186","Trump","CNBC","12","2019",3.0401,43.993125
"187","Trump","CNBC","6","2019",3.0946,41.1441176470588
"188","Trump","CSPAN2","1","2019",3.1695,42.0464285714286
"189","Trump","BLOOMBERG","11","2019",3.3828,46.2411764705882
"190","Trump","CSPAN","12","2018",3.3834,42.1307692307692
"191","Trump","BLOOMBERG","10","2019",3.4533,45.2092592592593
"192","Trump","BLOOMBERG","7","2019",3.5057,43.5933333333333
"193","Trump","BLOOMBERG","1","2019",3.6004,42.0464285714286
"194","Trump","CSPAN","5","2019",3.6306,45.0434782608696
"195","Trump","BLOOMBERG","12","2018",3.6515,42.1307692307692
"196","Trump","CSPAN","3","2019",3.7118,44.212
"197","Trump","BLOOMBERG","9","2019",3.7995,43.9133333333333
"198","Trump","CSPAN","7","2019",4.0766,43.5933333333333
"199","Trump","BLOOMBERG","11","2018",4.1614,43
"200","Trump","CSPAN","1","2019",4.1719,42.0464285714286
"201","Trump","CSPAN","6","2019",4.2079,41.1441176470588
"202","Trump","BLOOMBERG","2","2019",4.4449,38.4590909090909
"203","Trump","CSPAN","4","2019",4.5422,46.1714285714286
"204","Trump","BLOOMBERG","5","2019",4.5918,45.0434782608696
"205","Trump","CSPAN","2","2019",4.6838,38.4590909090909
"206","Trump","CSPAN","9","2019",4.7627,43.9133333333333
"207","Trump","CSPAN","8","2019",4.8912,43.4827586206897
"208","Trump","CSPAN","11","2018",4.9767,43
"209","Trump","BLOOMBERG","8","2019",5.0477,43.4827586206897
"210","Trump","BLOOMBERG","6","2019",5.624,41.1441176470588
"211","Trump","CSPAN","12","2019",5.8589,43.993125
"212","Trump","CSPAN","11","2019",6.3117,46.2411764705882
"213","Trump","CSPAN","10","2019",6.4992,45.2092592592593
"214","Trump","FBC","1","2019",6.6339,42.0464285714286
"215","Trump","BLOOMBERG","12","2019",6.8058,43.993125
"216","Trump","FBC","10","2019",6.9977,45.2092592592593
"217","Trump","FBC","9","2019",7.0889,43.9133333333333
"218","Trump","FBC","3","2019",7.1888,44.212
"219","Trump","FBC","12","2018",7.2704,42.1307692307692
"220","Trump","FBC","7","2019",7.4381,43.5933333333333
"221","Trump","FBC","4","2019",7.4494,46.1714285714286
"222","Trump","FBC","11","2019",7.4655,46.2411764705882
"223","Trump","FBC","2","2019",7.4859,38.4590909090909
"224","Trump","FBC","8","2019",8.059,43.4827586206897
"225","Trump","FBC","11","2018",8.1813,43
"226","Trump","FBC","5","2019",8.461,45.0434782608696
"227","Trump","CNN","7","2019",8.4668,43.5933333333333
"228","Trump","FOXNEWS","7","2019",8.4718,43.5933333333333
"229","Trump","CNN","9","2019",8.6089,43.9133333333333
"230","Trump","FBC","6","2019",8.6153,41.1441176470588
"231","Trump","FOXNEWS","9","2019",8.6541,43.9133333333333
"232","Trump","FBC","12","2019",8.655,43.993125
"233","Trump","FOXNEWS","8","2019",8.6691,43.4827586206897
"234","Trump","FOXNEWS","4","2019",8.8814,46.1714285714286
"235","Trump","FOXNEWS","1","2019",9.045,42.0464285714286
"236","Trump","FOXNEWS","2","2019",9.0499,38.4590909090909
"237","Trump","FOXNEWS","3","2019",9.2533,44.212
"238","Trump","CNN","4","2019",9.4476,46.1714285714286
"239","Trump","FOXNEWS","11","2019",9.5054,46.2411764705882
"240","Trump","CNN","8","2019",9.6121,43.4827586206897
"241","Trump","FOXNEWS","5","2019",9.6491,45.0434782608696
"242","Trump","FOXNEWS","6","2019",9.8283,41.1441176470588
"243","Trump","CNN","3","2019",9.9978,44.212
"244","Trump","FOXNEWS","12","2018",10.0332,42.1307692307692
"245","Trump","FOXNEWS","10","2019",10.0574,45.2092592592593
"246","Trump","FOXNEWS","11","2018",10.2073,43
"247","Trump","CNN","6","2019",10.3443,41.1441176470588
"248","Trump","FOXNEWS","12","2019",10.4845,43.993125
"249","Trump","CNN","12","2019",10.7048,43.993125
"250","Trump","CNN","5","2019",10.7123,45.0434782608696
"251","Trump","CNN","10","2019",10.886,45.2092592592593
"252","Trump","CNN","2","2019",10.8918,38.4590909090909
"253","Trump","CNN","11","2019",11.1206,46.2411764705882
"254","Trump","MSNBC","12","2019",11.1737,43.993125
"255","Trump","MSNBC","9","2019",11.8166,43.9133333333333
"256","Trump","MSNBC","4","2019",11.8914,46.1714285714286
"257","Trump","CNN","11","2018",11.9125,43
